SCM																																																																						
21	4938	0	137	250	100	5	10	1																																																														
22	4939	0	137	250	100	5	10	1																																																														
23	4940	0	137	250	100	5	10	1																																																														
24	4941	0	138	250	100	5	10	1																																																														
25	4942	0	138	250	100	5	10	1																																																														
26	4943	0	138	250	100	5	10	1																																																														
27	4944	0	139	250	100	5	10	1																																																														
28	4945	0	139	250	100	5	10	1																																																														
29	4946	0	140	250	100	5	10	1																																																														
30	4947	0	140	250	100	5	10	1																																																														
31	4948	0	140	250	100	5	10	1																																																														
32	4949	0	141	250	100	5	10	1																																																														
33	4950	0	141	250	100	5	10	1																																																														
34	4951	0	141	250	100	5	10	1																																																														
35	4952	0	142	250	100	5	10	1																																																														
36	4953	0	142	250	100	5	10	1																																																														
37	4954	0	143	250	100	5	10	1																																																														
38	4955	0	143	250	100	5	10	1																																																														
39	4956	0	143	250	100	5	10	1																																																														
40	4957	0	144	250	100	5	10	1																																																														
41	4958	0	144	250	100	5	10	1																																																														
42	4959	0	145	250	100	5	10	1																																																														
43	4960	0	145	250	100	5	10	1																																																														
44	4961	0	145	250	100	5	10	1																																																														
45	4962	0	146	250	100	5	10	1																																																														
46	4963	0	146	250	100	5	10	1																																																														
47	4964	0	146	250	100	5	10	1																																																														
48	4965	0	147	250	100	5	10	1																																																														
49	4966	0	147	250	100	5	10	1																																																														
50	4967	0	147	250	100	5	10	1																																																														
51	4968	0	148	250	100	5	10	1																																																														
52	4969	0	148	250	100	5	10	1																																																														
53	4970	0	148	250	100	5	10	1																																																														
54	4971	0	149	250	100	5	10	1																																																														
55	4972	0	149	250	100	5	10	1																																																														
56	4973	0	149	250	100	5	10	1																																																														
57	4974	0	150	250	100	5	10	1																																																														
58	4975	0	150	250	100	5	10	1																																																														
59	4976	0	151	250	100	5	10	1																																																														
60	4977	0	151	250	100	5	10	1																																																														
61	4978	0	151	250	100	5	10	1																																																														
62	4979	0	152	250	100	5	10	1																																																														
63	4980	0	152	250	100	5	10	1																																																														
64	4981	0	152	250	100	5	10	1																																																														
65	4982	0	153	250	100	5	10	1																																																														
66	4983	0	153	250	100	5	10	1																																																														
67	70000	0	154	250	100	5	10	99																																																														
68	70001	0	155	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1702	0																																																																				
130	1703	0																																																																				
131	1704	0																																																																				
132	1705	0																																																																				
133	1706	0																																																																				
134	1707	0																																																																				
135	1708	0																																																																				
136	1709	0																																																																				
137	1710	0																																																																				
138	1711	0																																																																				
139	1712	0																																																																				
140	1713	0																																																																				
141	1714	0																																																																				
142	1715	0																																																																				
143	1716	0																																																																				
144	1717	0																																																																				
145	1718	0																																																																				
146	1719	0																																																																				
147	1720	0																																																																				
148	1721	0																																																																				
149	1722	0																																																																				
150	1723	0																																																																				
151	1724	0																																																																				
152	1725	0																																																																				
153	1726	0																																																																				
154	70000	0																																																																				
155	70001	0																																																																				
156	70002	0																																																																				
																																																																						
SCM																																																																						
004																																																																						
USM																																																																						
1	4984	0	129	250	100	5	10	1																																																														
2	4985	0	129	250	100	5	10	1																																																														
3	4986	0	129	250	100	5	10	1																																																														
4	4987	0	130	250	100	5	10	1																																																														
5	4988	0	130	250	100	5	10	1																																																														
6	4989	0	130	250	100	5	10	1																																																														
7	4990	0	131	250	100	5	10	1																																																														
8	4991	0	131	250	100	5	10	1																																																														
9	4992	0	131	250	100	5	10	1																																																														
10	4993	0	132	250	100	5	10	1																																																														
11	4994	0	132	250	100	5	10	1																																																														
12	4995	0	133	250	100	5	10	1																																																														
13	4996	0	133	250	100	5	10	1																																																														
14	4997	0	133	250	100	5	10	1																																																														
15	4998	0	134	250	100	5	10	1																																																														
16	4999	0	134	250	100	5	10	1																																																														
17	5000	0	134	250	100	5	10	1																																																														
18	5001	0	135	250	100	5	10	1																																																														
19	5002	0	135	250	100	5	10	1																																																														
20	5003	0	135	250	100	5	10	1																																																														
21	5004	0	136	250	100	5	10	1																																																														
22	5005	0	136	250	100	5	10	1																																																														
23	5006	0	137	250	100	5	10	1																																																														
24	5007	0	137	250	100	5	10	1																																																														
25	5008	0	138	250	100	5	10	1																																																														
26	5009	0	138	250	100	5	10	1																																																														
27	5010	0	138	250	100	5	10	1																																																														
28	5011	0	139	250	100	5	10	1																																																														
29	5012	0	139	250	100	5	10	1																																																														
30	5013	0	139	250	100	5	10	1																																																														
31	5014	0	140	250	100	5	10	1																																																														
32	5015	0	140	250	100	5	10	1																																																														
33	5016	0	141	250	100	5	10	1																																																														
34	5017	0	141	250	100	5	10	1																																																														
35	5018	0	141	250	100	5	10	1																																																														
36	5019	0	142	250	100	5	10	1																																																														
37	5020	0	142	250	100	5	10	1																																																														
38	5021	0	142	250	100	5	10	1																																																														
39	5022	0	143	250	100	5	10	1																																																														
40	5023	0	143	250	100	5	10	1																																																														
41	5024	0	143	250	100	5	10	1																																																														
42	70000	0	144	250	100	5	10	99																																																														
43	70001	0	144	250	100	5	10	99																																																														
44	70002	0	145	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1727	0																																																																				
130	1728	0																																																																				
131	1729	0																																																																				
132	1730	0																																																																				
133	1731	0																																																																				
134	1732	0																																																																				
135	1733	0																																																																				
136	1734	0																																																																				
137	1735	0																																																																				
138	1736	0																																																																				
139	1737	0																																																																				
140	1738	0																																																																				
141	1739	0																																																																				
142	1740	0																																																																				
143	1741	0																																																																				
144	70000	0																																																																				
145	70001	0																																																																				
146	70002	0																																																																				
																																																																						
SCM																																																																						
005																																																																						
USM																																																																						
1	5025	0	129	250	100	5	10	1																																																														
2	5026	0	129	250	100	5	10	1																																																														
3	5027	0	129	250	100	5	10	1																																																														
4	5028	0	130	250	100	5	10	1																																																														
5	5029	0	130	250	100	5	10	1																																																														
6	5030	0	130	250	100	5	10	1																																																														
7	5031	0	131	250	100	5	10	1																																																														
8	5032	0	131	250	100	5	10	1																																																														
9	5033	0	131	250	100	5	10	1																																																														
10	5034	0	132	250	100	5	10	1																																																														
11	5035	0	132	250	100	5	10	1																																																														
12	5036	0	133	250	100	5	10	1																																																														
13	5037	0	133	250	100	5	10	1																																																														
14	5038	0	133	250	100	5	10	1																																																														
15	5039	0	134	250	100	5	10	1																																																														
16	5040	0	134	250	100	5	10	1																																																														
17	5041	0	135	250	100	5	10	1																																																														
18	5042	0	135	250	100	5	10	1																																																														
19	5043	0	136	250	100	5	10	1																																																														
20	5044	0	136	250	100	5	10	1																																																														
21	5045	0	136	250	100	5	10	1																																																														
22	5046	0	137	250	100	5	10	1																																																														
23	5047	0	137	250	100	5	10	1																																																														
24	5048	0	137	250	100	5	10	1																																																														
25	5049	0	138	250	100	5	10	1																																																														
26	5050	0	138	250	100	5	10	1																																																														
27	5051	0	138	250	100	5	10	1																																																														
28	5052	0	139	250	100	5	10	1																																																														
