SCM																																																																						
16	5290	0	134	250	100	5	10	1																																																														
17	5291	0	135	250	100	5	10	1																																																														
18	5292	0	135	250	100	5	10	1																																																														
19	5293	0	135	250	100	5	10	1																																																														
20	5294	0	136	250	100	5	10	1																																																														
21	5295	0	136	250	100	5	10	1																																																														
22	5296	0	136	250	100	5	10	1																																																														
23	5297	0	137	250	100	5	10	1																																																														
24	5298	0	137	250	100	5	10	1																																																														
25	5299	0	137	250	100	5	10	1																																																														
26	5300	0	138	250	100	5	10	1																																																														
27	5301	0	138	250	100	5	10	1																																																														
28	5302	0	138	250	100	5	10	1																																																														
29	5303	0	139	250	100	5	10	1																																																														
30	5304	0	139	250	100	5	10	1																																																														
31	5305	0	139	250	100	5	10	1																																																														
32	5306	0	140	250	100	5	10	1																																																														
33	5307	0	140	250	100	5	10	1																																																														
34	5308	0	141	250	100	5	10	1																																																														
35	5309	0	141	250	100	5	10	1																																																														
36	5310	0	141	250	100	5	10	1																																																														
37	5311	0	142	250	100	5	10	1																																																														
38	5312	0	142	250	100	5	10	1																																																														
39	5313	0	142	250	100	5	10	1																																																														
40	5314	0	143	250	100	5	10	1																																																														
41	5315	0	143	250	100	5	10	1																																																														
42	5316	0	143	250	100	5	10	1																																																														
43	5317	0	144	250	100	5	10	1																																																														
44	5318	0	144	250	100	5	10	1																																																														
45	5319	0	144	250	100	5	10	1																																																														
46	70000	0	145	250	100	5	10	99																																																														
47	70001	0	145	250	100	5	10	99																																																														
48	70002	0	146	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1833	0																																																																				
130	1834	0																																																																				
131	1835	0																																																																				
132	1836	0																																																																				
133	1837	0																																																																				
134	1838	0																																																																				
135	1839	0																																																																				
136	1840	0																																																																				
137	1841	0																																																																				
138	1842	0																																																																				
139	1843	0																																																																				
140	1844	0																																																																				
141	1845	0																																																																				
142	1846	0																																																																				
143	1847	0																																																																				
144	1848	0																																																																				
145	70000	0																																																																				
146	70001	0																																																																				
